LCD (Å)-P,PLD (Å)-P,LCD/PLD,Density (g/cm3)-P,Porosity-P,PV (cm3/g)-P,C%-P,H%-P,N%-P,O%-P,Metal%-P,Halogen%-P,Metalloids%-P,Ametal%-P,TDU-P,DU-P,MP-P,OtoM-P,CO2_Qst,CO2 Uptake (mol/kg)-P-1 bar-Single
7.89913,6.45621,1.22349334981359,1.08802,0.61993965174,0.569787,42.8571428571429,19.047619047619,0,30.952380952381,7.14285714285714,0,0,0,897,0.778645833333333,0.166666666666667,4.33333333333333,20.1487175454,3.5370675159
6.71076,6.05826,1.10770419229284,1.47379,0.53207798233,0.361027,48,32.8,10.4,1.6,2.4,4.8,0,0,633,0.659375,0.05,0.666666666666667,19.9296776441,1.5163381393
13.61166,6.14739,2.21421774118772,0.56243,0.767379492,1.3644,42.7480916030534,24.4274809160305,24.4274809160305,3.05343511450382,3.05343511450382,0.763358778625954,1.52671755725191,0,321,0.716517857142857,0.0714285714285714,1,12.1735477139,1.0010918855
8.29761,7.94447,1.04445104582181,0.865148,0.650419996696,0.751802,52.6315789473684,31.5789473684211,2.63157894736842,10.5263157894737,2.63157894736842,0,0,0,897,0.70078125,0.05,4,19.1398126579,2.544655627
8.31402,7.94315,1.04669054468315,0.865148,0.650200249104,0.751548,52.6315789473684,31.5789473684211,2.63157894736842,10.5263157894737,2.63157894736842,0,0,0,897,0.70078125,0.05,4,19.1211192655,2.5341053194
7.55288,6.66056,1.13397071717693,1.14065,0.5137806982,0.450428,50,32.6086956521739,4.34782608695652,10.8695652173913,2.17391304347826,0,0,0,497,0.675271739130435,0.0434782608695652,5,17.5736960052,2.016079165
7.76168,6.6264,1.1713268139563,0.69781,0.7045019979,1.00959,53.5714285714286,17.8571428571429,3.57142857142857,21.4285714285714,3.57142857142857,0,0,0,601,0.834722222222222,0.0666666666666667,6,20.1858453873,6.5038154189
11.06918,6.46655,1.71175974824288,0.744735,0.7514971938,1.00908,46.1538461538462,23.0769230769231,7.69230769230769,15.3846153846154,3.84615384615385,3.84615384615385,0,0,217,0.753472222222222,0.0833333333333333,4,15.8488552114,2.1355862609
8.74899,7.45483,1.17360020282153,1.03752,0.64990149048,0.626399,41.3793103448276,20.6896551724138,10.3448275862069,24.1379310344828,3.44827586206897,0,0,0,325,0.752314814814815,0.0833333333333333,7,35.1693896249,4.9151943217
11.31651,8.34849,1.35551578788499,0.690631,0.73996,1.07142598580139,46.1538461538462,37.3626373626374,0,13.1868131868132,3.2967032967033,0,0,0,301,0.597222222222222,0.0714285714285714,4,12.4557133621,0.8872181294
19.05218,16.19728,1.17625798899568,0.40877,0.8047782006,1.96878,46.2809917355372,42.9752066115703,3.30578512396694,6.61157024793388,0.826446280991736,0,0,0,361,0.537202380952381,0.0178571428571429,8,16.4422735905,1.598890098
9.72345,6.5603,1.48216544975077,0.748073,0.680079896957,0.909109,45.4054054054054,42.1621621621622,3.24324324324324,6.48648648648649,1.08108108108108,1.62162162162162,0,0,361,0.537202380952381,0.0238095238095238,6,18.800754011,2.4055983269
8.3861,6.77602,1.23761441081933,0.882886,0.58820072535,0.666225,43.2692307692308,46.1538461538462,4.32692307692308,4.32692307692308,0.961538461538462,0,0.961538461538462,0,673,0.467361111111111,0.0222222222222222,4.5,13.878435094,0.5165217916
10.83342,6.6722,1.62366535775306,0.814427,0.718599890326,0.882338,45.679012345679,24.6913580246914,0,24.6913580246914,4.93827160493827,0,0,0,217,0.733108108108108,0.108108108108108,5,25.2702177531,2.3699396773
9.32317,7.02796,1.32658267833055,1.15138,0.53904042322,0.468169,47.244094488189,31.496062992126,9.44881889763779,9.44881889763779,2.36220472440945,0,0,0,481,0.668055555555556,0.05,4,16.7903450677,1.558260263
7.45099,6.10695,1.22008367515699,1.03689,0.6028374771,0.58139,41.3793103448276,27.5862068965517,6.89655172413793,20.6896551724138,3.44827586206897,0,0,0,513,0.66796875,0.0833333333333333,6,18.7381956458,2.651316731
8.14221,6.70465,1.21441238543399,1.02096,0.56217937248,0.550638,40.9090909090909,40.1515151515151,4.54545454545455,13.6363636363636,0.757575757575758,0,0,0,661,0.510030864197531,0.0185185185185185,18,17.3143615657,0.657362207
8.81737,8.10008,1.08855344638571,1.00656,0.54383832864,0.540294,30.7692307692308,43.0769230769231,15.3846153846154,9.23076923076923,1.53846153846154,0,0,0,289,0.301041666666667,0.05,6,12.7955648105,0.1505778278
